DAUID,POPDENSE
10020130,67.2
10020131,32.4
10020132,551.5
10020133,1573.3
10020134,1931.6
10020135,1825.5
10020136,146.6
10020137,0.7
1003,0.8
10030056,0
10030057,53.1
10030058,7
10030059,73.1
10030060,177.3
10030061,0
10030062,100.1
10030063,14.6
10030064,31.4
10030065,0
10030066,68.9
10030067,2964.8
10030068,120.3
10030069,0
10030070,0
10030071,0
10030072,236
10030073,4.2
10030074,1246.3
10030075,388.4
10030076,642.3
10030077,0
10030078,0.1
10030079,88.6
10030080,135.2
10030081,43.9
10030082,1.1
10030083,115.1
10030084,66
10030085,19.4
10030086,295.2
10030087,535.3
10030088,2958.8
10030089,731.8
10030090,2620.4
10030091,1399.3
10030092,52.4
10030093,61.7
10030094,7.1
10030095,30.2
10030096,29.7
10030097,88.7
10030098,45.5
1004,2.9
10040077,7.9
10040078,1.2
10040079,0.6
10040080,122.5
10040081,2780.6
10040082,1949.3
10040083,634.6
10040084,1571.4
10040085,1786.9
10040086,1100.2
10040087,130
10040088,1578
10040089,2749.4
10040090,188.6
10040091,301.5
10040092,210.4
10040093,1097.5
10040094,41
10040095,195.6
10040096,23.4
10040097,26.9
10040098,1154
10040099,18.4
10040100,44.3
10040101,546.2
10040102,466.2
10040103,0.2
10040104,31.3
10040105,64.4
10040106,172
10040107,26.1
10040108,2.6
10040109,0.7
10040110,13.2
10040111,0.4
10040112,0.4
10040113,10.2
10040114,9.2
10040115,3.1
10040116,25.5
10040117,21.4
10040118,9.9
10040119,17.5
10040120,57.4
1005,4.1
10050076,40.4
10050077,0.1
10050078,13
10050079,0.2
10050080,4.5
10050081,8.7
10050082,43.8
10050083,14.2
10050084,487.6
10050085,1485.6
10050086,1879
10050087,636.3
10050088,547.4
10050089,67.7
10050090,161.6
10050091,0.2
10050092,1
10050093,60.3
10050094,1389.1
10050095,738.5
10050096,967.2
10050097,1606.4
10050098,22.5
10050099,364.4
10050101,658.7
10050102,970.1
10050103,1785.7
10050104,2938
10050105,1649.7
10050106,3187.3
10050107,838.7
10050108,1461.2
10050109,3116.2
10050110,2715.1
10050111,2266.1
10050112,2728.6
10050113,545.8
10050114,2788.8
10050115,14.6
10050116,123.4
10050117,159.5
10050118,110.5
10050119,165.1
10050120,61.2
10050121,44.6
10050122,0
10050123,95.4
10050124,13.1
10050125,584.5
10050126,368.8
10050127,47.5
10050129,853.6
10050130,652.7
10050131,13.9
10050132,2206.7
10050133,655.8
10050134,1858.7
10050135,3501.5
10050136,2051.6
10050137,3687.9
10050138,2134.2
10050139,3835.8
10050140,301
10050141,1340.6
10050143,1046.8
10050144,3725.1
10050145,535.4
10050146,1906.6
10050147,757.4
10050148,2830.8
10050149,2764.5
10050150,0.6
10050151,0.1
10050152,10.3
10050153,24.8
10050154,40.4
10050155,301.1
10050156,398
10050158,670
10050159,34.5
10050160,7.4
1006,2.4
10060058,23
10060059,1470.7
10060060,3242.6
10060061,3104.7
10060062,2054.5
10060063,112.5
10060064,2387.4
10060065,1638.9
10060066,1466.2
10060067,1433.8
10060068,1965.1
10060069,2116
10060070,1359.4
10060071,9.4
10060072,1066.4
10060073,2609.3
10060074,0.1
10060075,89.8
10060076,67.8
10060077,267.9
10060078,0.2
10060079,9.3
10060080,83.9
